Datetime,Latitude,Longitude,Altitude [m ASL],Image Filename,Image Path
2022:10:25 16:53:40,42.85091169444445,-121.1443618888889,1572.921,00276.JPG,./Images/Fire/RGB/00276.JPG
2022:10:25 16:53:43,42.85091358333334,-121.14436533333334,1572.926,00277.JPG,./Images/Fire/RGB/00277.JPG
2022:10:25 16:53:46,42.85091422222222,-121.14436905555556,1572.98,00278.JPG,./Images/Fire/RGB/00278.JPG
2022:10:25 16:53:49,42.85091519444445,-121.14436900000001,1572.86,00279.JPG,./Images/Fire/RGB/00279.JPG
2022:10:25 16:53:52,42.850918416666666,-121.14430144444445,1572.822,00280.JPG,./Images/Fire/RGB/00280.JPG
2022:10:25 16:53:55,42.850943694444446,-121.14398588888889,1572.888,00281.JPG,./Images/Fire/RGB/00281.JPG
2022:10:25 16:53:58,42.85101161111111,-121.14357527777779,1572.883,00282.JPG,./Images/Fire/RGB/00282.JPG
2022:10:25 16:54:01,42.851148111111115,-121.14315044444444,1572.9,00283.JPG,./Images/Fire/RGB/00283.JPG
2022:10:25 16:54:04,42.851348,-121.14274166666668,1572.922,00284.JPG,./Images/Fire/RGB/00284.JPG
2022:10:25 16:54:07,42.851607944444446,-121.14235005555557,1572.868,00285.JPG,./Images/Fire/RGB/00285.JPG
2022:10:25 16:54:10,42.851930055555556,-121.14201458333334,1572.904,00286.JPG,./Images/Fire/RGB/00286.JPG
2022:10:25 16:54:13,42.852294138888894,-121.14180472222223,1572.878,00287.JPG,./Images/Fire/RGB/00287.JPG
2022:10:25 16:54:16,42.85259452777778,-121.14174358333334,1571.841,00288.JPG,./Images/Fire/RGB/00288.JPG
2022:10:25 16:54:19,42.852669500000005,-121.14156394444446,1571.902,00289.JPG,./Images/Fire/RGB/00289.JPG
2022:10:25 16:54:22,42.852604722222225,-121.14149666666667,1571.835,00290.JPG,./Images/Fire/RGB/00290.JPG
2022:10:25 16:54:25,42.85260644444445,-121.14149830555556,1571.801,00291.JPG,./Images/Fire/RGB/00291.JPG
2022:10:25 16:58:41,42.85413716666667,-121.15097241666668,1584.476,00292.JPG,./Images/Fire/RGB/00292.JPG
2022:10:25 16:58:44,42.853962361111115,-121.15057644444445,1584.537,00293.JPG,./Images/Fire/RGB/00293.JPG
2022:10:25 16:58:50,42.853487055555554,-121.14989891666667,1584.671,00294.JPG,./Images/Fire/RGB/00294.JPG
2022:10:25 16:58:53,42.85348008333334,-121.14941922222224,1584.629,00295.JPG,./Images/Fire/RGB/00295.JPG
2022:10:25 16:59:03,42.8538385,-121.14876969444445,1584.63,00296.JPG,./Images/Fire/RGB/00296.JPG
2022:10:25 16:59:05,42.85383727777778,-121.14877252777778,1587.275,00297.JPG,./Images/Fire/RGB/00297.JPG
2022:10:25 16:59:08,42.85380063888889,-121.14868766666667,1585.918,00298.JPG,./Images/Fire/RGB/00298.JPG
2022:10:25 16:59:11,42.85364088888889,-121.14835552777778,1584.803,00299.JPG,./Images/Fire/RGB/00299.JPG
2022:10:25 16:59:14,42.853424555555556,-121.14791608333334,1584.919,00300.JPG,./Images/Fire/RGB/00300.JPG
2022:10:25 16:59:17,42.85332944444445,-121.14744722222223,1584.97,00301.JPG,./Images/Fire/RGB/00301.JPG
2022:10:25 16:59:20,42.85331677777778,-121.147299,1584.891,00302.JPG,./Images/Fire/RGB/00302.JPG
2022:10:25 16:59:23,42.85328008333334,-121.14729563888889,1584.857,00303.JPG,./Images/Fire/RGB/00303.JPG
2022:10:25 16:59:26,42.85306552777778,-121.14726647222223,1585.096,00304.JPG,./Images/Fire/RGB/00304.JPG
2022:10:25 16:59:29,42.85284719444444,-121.14704436111111,1584.967,00305.JPG,./Images/Fire/RGB/00305.JPG
2022:10:25 16:59:32,42.852609722222226,-121.14672105555556,1585.04,00306.JPG,./Images/Fire/RGB/00306.JPG
2022:10:25 16:59:35,42.852430472222224,-121.14631255555557,1585.155,00307.JPG,./Images/Fire/RGB/00307.JPG
2022:10:25 16:59:38,42.85231752777778,-121.14596194444445,1584.665,00308.JPG,./Images/Fire/RGB/00308.JPG
2022:10:25 16:59:41,42.85220436111111,-121.14599461111112,1584.594,00309.JPG,./Images/Fire/RGB/00309.JPG
2022:10:25 16:59:44,42.85197544444445,-121.14612619444445,1584.631,00310.JPG,./Images/Fire/RGB/00310.JPG
2022:10:25 16:59:47,42.85165752777778,-121.14622663888889,1584.638,00311.JPG,./Images/Fire/RGB/00311.JPG
2022:10:25 16:59:53,42.85119180555556,-121.14621416666667,1584.821,00312.JPG,./Images/Fire/RGB/00312.JPG
2022:10:25 16:59:56,42.85111052777778,-121.14625319444445,1584.657,00313.JPG,./Images/Fire/RGB/00313.JPG
2022:10:25 16:59:59,42.85091933333334,-121.14643797222223,1585.25,00314.JPG,./Images/Fire/RGB/00314.JPG
2022:10:25 17:00:02,42.85067263888889,-121.14672941666667,1585.603,00315.JPG,./Images/Fire/RGB/00315.JPG
2022:10:25 17:00:05,42.85049377777778,-121.1469396388889,1584.373,00316.JPG,./Images/Fire/RGB/00316.JPG
2022:10:25 17:00:08,42.85052705555556,-121.14702308333334,1583.518,00317.JPG,./Images/Fire/RGB/00317.JPG
2022:10:25 17:00:12,42.85069861111111,-121.14731866666668,1584.184,00318.JPG,./Images/Fire/RGB/00318.JPG
2022:10:25 17:00:14,42.85094072222223,-121.14772252777779,1585.31,00319.JPG,./Images/Fire/RGB/00319.JPG
2022:10:25 17:00:18,42.851235055555556,-121.14811197222222,1585.174,00320.JPG,./Images/Fire/RGB/00320.JPG
2022:10:25 17:00:21,42.851438083333335,-121.14835975000001,1584.737,00321.JPG,./Images/Fire/RGB/00321.JPG
2022:10:25 17:00:24,42.85145272222223,-121.14838188888889,1584.756,00322.JPG,./Images/Fire/RGB/00322.JPG
2022:10:25 17:00:27,42.851448500000004,-121.14838102777779,1584.912,00323.JPG,./Images/Fire/RGB/00323.JPG
2022:10:25 17:00:29,42.85152058333333,-121.14825558333334,1585.128,00324.JPG,./Images/Fire/RGB/00324.JPG
2022:10:25 17:00:33,42.851574444444445,-121.14811261111112,1585.055,00325.JPG,./Images/Fire/RGB/00325.JPG
2022:10:25 17:00:48,42.85157430555556,-121.14810977777779,1584.631,00326.JPG,./Images/Fire/RGB/00326.JPG
